ID,Title,Content
4,Punishment for crimes committed by substance susch as combustores,"if any person kills or attempts to cause the death of a child or woman by a burning, corrosive or poisonous substance, such person shall be punishable with death or life imprisonment and a fine not exceeding one lakh rupees. If a person injures a child or woman by a burning, corrosive or poisonous substance in such a manner as to cause loss of sight or hearing of that child or woman or any organ, gland or part of the body is deformed or damaged or any other part of his body Injured, if the child or woman. In case of loss of sight or hearing or deformity or loss of face, breast or genitals, such person shall be punishable by death or life imprisonment and shall be punishable with a fine not exceeding one lakh rupees. In case of mutilation or damage to any other organ, gland or part of the body or injury to any part of the body, such person shall be punishable with imprisonment for a term not exceeding fourteen years but not less than seven years and with a fine not exceeding fifty thousand rupees. If a person throws or attempts to throw a burning, corrosive or poisonous substance at a child or woman, the person shall not inflict any physical, mental or otherwise harm to the child or woman concerned, as the case may be. He shall be punishable with imprisonment for a term not exceeding seven years but not less than three years and with a fine not exceeding fifty thousand rupees. Penalties under this section shall be levied on the heirs of the person who has died as a result of the offense or, as the case may be, physically or mentally In case of death of the person who has been harmed or of that person, it shall be paid to his heirs."
7,Punishment for abduction of women and children,"If any person 1 [ Human Trafficking Prevention and Suppression Act, 01 (01 Act No.3 Act), Section 3 and 6 of the above-mentioned] No offense purpose other than for the purpose of any woman or child abduction, and such a person to life imprisonment or Shall be punishable with imprisonment for a term not exceeding fourteen years and with an additional fine thereof."
8,Punishment for ransom,"If a person detains a woman or a child for ransom, the person shall be liable to death or to life imprisonment, and to an additional fine thereof."
9.1,Punishment for rapem death due to rape ,"If a man rapes a woman or a child, he shall be punishable by 1 [death penalty or life imprisonment] and shall be punishable with an additional fine thereof . Explanation: - If a man has sexual intercourse with a woman over the age of 2 [sixteen years] without her consent or by intimidation or fraudulently obtaining her consent, or with a woman under the age of 3 [sixteen years] with her consent or without her consent. , Then he will be considered to have raped the woman. If a woman or a child dies [ 4 ] as a result of rape or other misconduct by a person after the rape , the person shall be punishable with death or life imprisonment and an additional fine of not less than one lakh rupees. If more than one person rapes a woman or a child in a group and the woman or child dies or is injured as a result of the rape, each person in that group shall be punishable with death or life imprisonment and a fine not exceeding one lakh rupees. . If a person treats a woman or a child. attempts to cause death or injury by rape, the person shall be punishable by 5 [death penalty or life imprisonment] and shall be punishable with an additional fine thereof . Attempts to rape, in which case the person shall be punishable with imprisonment for a term not exceeding ten years but not less than five years and with an additional fine thereof. If the police custody while a woman 6 [rape victims] are, then whose custody such rape was committed, the person or persons 7 [raped] women in custody for a direct 8 [charge] was, he, or they, each, Unless otherwise proved, shall be punishable with imprisonment for a term not exceeding ten years, but not less than five years, for the failure of custody, and in addition with a fine not exceeding ten thousand rupees.
"
9.2,Punishment for inciting women to commit suicide,"If a woman commits suicide without the consent of a woman or against the will of a person due to a direct act of willful dishonor, the person will be guilty of inciting the woman to commit suicide by doing the same act. Will be punishable with rigorous imprisonment and also with additional fine"
10,Penalties for sexual harassment,"If a person unlawfully touches or molestes a woman or a child or any other part of his body with any part of his body or any object for the purpose of satisfying his sexual desire, then his act shall be sexual harassment and the person shall not exceed ten. Will be punishable by one year but not less than three years rigorous imprisonment and will also be punishable by an additional fine"
11,Punishment of death for dowry,"If a woman's husband or husband's father, mother, guardian, relative or any other person on behalf of the husband kills or tries to kill the woman for dowry 1 [or causes grievous hurt or simple injury to the woman ] Then the said husband, husband's father, mother, guardian, relative or person- (A) shall be punishable by death for attempting to cause death or of life imprisonment for attempting to cause death and in both cases shall be punishable with an additional fine of the said penalty; (b) for causing grievous hurt shall be punishable with life imprisonment or not more than twelve years but not less than five years rigorous imprisonment and in addition to the fine; (C) for causing simple injury shall be punishable with imprisonment for a term not exceeding three years but not less than one year and shall also be punishable with an additional fine of the said penalty"
12,Punishment of mutilation of a child for the purpose of begging,"If a person destroys or mutilates or mutilates a child's hand, foot, eye or any other limb for the purpose of begging or selling limbs, then that person shall be punishable with death penalty or life imprisonment and in addition with fine"
13,Provisions regarding children born as a result of rape,"Notwithstanding anything different from any other law, if a child is born as a result of rape- (A) the child may be placed under the care of his mother or his maternal relatives; (B) the child shall be entitled to be known as his father or mother, or both; (C) the maintenance of the child shall be borne by the State; (D) The maintenance of the child shall be payable till he attains the age of twenty-one years, but in the case of a daughter above the age of twenty-one years he shall be paid till he is married and in the case of a crippled child he shall be eligible for his maintenance. (2) The Government shall determine the amount of money to be paid for the maintenance of the child referred to in sub-section (1) in the manner prescribed by the rules. (3) The Government may recover from the rapist the amount payable for the maintenance of a child under this section, and if it is not possible to recover the money from the rapist's existing assets, it shall be recoverable from the assets he will own in future.]"
14,Prohibition on disclosure of identity of abused women and children through news ,"News or information or name-address or other information of the offense or legal proceedings against the woman or child who has been the victim of the offense described in this Act may be published or served in any newspaper or any other news in such a way as to identify the woman or child. Does not get published. (2) In case of violation of the provisions of sub-section (1), the person or persons responsible for such violation shall be punishable with imprisonment for a term not exceeding two years or with a fine not exceeding one lakh rupees or with both."
20,Torture and Death in Custody,"(1) If any person is found guilty under sub-section (1) of section 13 of this Act, he shall be punished with imprisonment for a term not exceeding five years or with a fine not exceeding fifty thousand rupees or both and with an additional twenty five thousand rupees Will pay compensation.(2) If a person tortures another person and the person dies as a result of such torture, the perpetrator shall be deemed to have committed an offense under sub-section (1) of section 13 of this Act and for that he shall be punished with life imprisonment or at least one. One lakh rupees will be fined or both and in addition two lakh rupees will be paid as compensation to the affected person / persons.
(3) If any person is found guilty under sub-section (2) of section 13 of this Act, he shall be punished with imprisonment for a term not exceeding two years or with a fine not less than twenty thousand rupees or with both. (4) Any person convicted of an offense under this Act shall, within 14 (fourteen) days from the date of sentencing, submit to the Judicial Court the money referred to in sub-sections (1), (2) and (3). No appeal shall be made against the penalty of any offense under this Act except in fulfillment of such requirements. "
21,IMPORT OF DRUGS ,"(1) Whoever contravenes any of the provisions of this Chapter or of any rule made thereunder shall, in addition to any penalty to which he may be liable under the provision of section 11, be punishable with imprisonment which may extend to one year , or with fine which may extend to five hundred Taka, or with both. (2) Whoever, having been convicted under sub section (1), is again convicted under that sub section shall, in addition to any penalty as aforesaid, be punishable with imprisonment which may extend to two years, or with fine which may extend to one thousand Taka, or with both. "
22,"Penalty for manufacture, sale, etc., of drugs in contravention of this Chapter ","Whoever himself or by any other person on his behalf manufactures for sale, sells, stocks or exhibits for sale or distributes any drug in contravention of any of the provisions of this Chapter or any rule made thereunder shall be punishable with imprisonment which may extend to three years or with fine, or with both. "
